x1	x2	x3	x4	
3.938000183550e-003	1.689299941060e-002	1.633800007400e-002	3.026800043880e-002
-1.551300007850e-002	1.128199975940e-002	-6.368199829010e-003	1.740000024440e-002
-3.339299932120e-002	-3.330999985340e-002	-9.464900009330e-003	-1.087300013750e-002
-1.153800054450e-003	1.664699986580e-002	-1.827700063590e-002	-6.236500106750e-003
8.691400289540e-004	1.206799969080e-002	1.951700076460e-002	1.012699957940e-002
2.547799982130e-002	-2.531199948860e-003	-3.226999891920e-003	4.408299922940e-003
3.328799828890e-002	5.431599915030e-003	8.695799857380e-003	2.121499925850e-002
2.450999990110e-002	2.115299925210e-002	1.836200058460e-002	2.811500057580e-002
2.335200086240e-003	6.961499806490e-003	3.639400005340e-002	1.318299956620e-002
2.999299950900e-002	2.190599963070e-002	6.149599794300e-004	3.902500122790e-002
